entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1521390,4,"僕","しもべ",A-remove,false,,kanji,"uk",1,"servant; manservant; menial"
1523790,1,"摩る","さする",C-collision-but-established,true,,kanji,"uk",1,"to rub; to pat; to stroke"
1524490,1,"埋める","うずめる",C-collision-but-established,true,,kanji,"",1,"to cover; to bury (e.g. one's face in hands); to submerge | to fill (completely); to stuff; to pack"
1524520,1,"埋め込む","うめこむ",B-review,false,,kanji,"",0,"to bury; to embed; to implant"
1525230,3,"末","うら",A-remove,false,,kanji,"arch",1,"top end; tip"
1525240,3,"末","うれ",A-remove,false,,kanji,"arch",1,"new shoots; new growth (of a tree)"
1525260,3,"末","まつ",C-collision-but-established,true,,kanji,"",1,"the end (of) | powder"
1525310,1,"末期","まつご",A-remove,false,,kanji,"",1,"hour of death; one's last moments; end of one's life"
1525750,5,"万","ばん",A-remove,false,,kanji,"",1,"completely; absolutely; totally"
1526020,2,"万歳","まんざい",A-remove,false,,kanji,"",1,"door-to-door manzai; form of comedy originally performed at people's homes by entertainers during the New Year festiviti"
1533330,3,"綿","めん",C-collision-but-established,true,,kanji,"",1,"cotton"
1535140,3,"お目にかかる","おめにかかる",B-review,false,,kanji,"hum/arch",0,"to meet (someone of higher status) | to be recognized (esp. by someone of higher status); to be visible; to be seen"
1535330,1,"目下","もっか",C-collision-but-established,true,,kanji,"",1,"at present; now"
1535730,1,"目論見","もくろみ",B-review,false,,kanji,"",0,"plan; scheme; plot"
1535760,1,"勿体","もったい",A-remove,false,,kanji,"",1,"superior airs; air of importance | overemphasis"
1535810,3,"尤も","もっとも",C-collision-but-established,true,,kanji,"uk",1,"but then; although; though | reasonable; natural; just"
1537960,3,"役","えき",A-remove,false,,kanji,"arch",1,"war; campaign; battle | unpaid work (ritsuryō system); forced labor"
1539020,3,"優","やさ",B-review,false,,kanji,"",0,"gentle; affectionate"
1539030,3,"優","ゆう",A-remove,false,,kanji,"arch",1,"Excellent (grade); A | superiority; excellence"
1543920,5,"余意","よい",B-review,false,,kana-expr,"",0,"implied meaning"
1545150,2,"幼子","おさなご",C-collision-but-established,true,38,kanji,"",1,"infant; baby; little child"
1547380,1,"欲深い","よくぶかい",B-review,false,,kanji,"",0,"greedy"
1551230,3,"率土","そっと",B-review,false,,kana-expr,"form",0,"ends of the earth; outer reaches; borderland"
1551820,1,"立方","りっぽう",A-remove,false,,kanji,"",1,"cube"
1551930,1,"掠れる","かすれる",B-review,false,,kanji,"uk",0,"to get blurred | to get hoarse; to get husky"
1552620,1,"溜まり","たまり",B-review,false,,kanji,"abbr",0,"pile; pool; collection | gathering spot"
1554830,4,"力","りき",A-remove,false,,kanji,"",1,"strength; power; proficiency | the strength of ... people; the strength of ... men"
1555700,3,"輪","りん",A-remove,false,,kanji,"",1,"counter for wheels and flowers"
1557940,5,"齢","よわい",C-collision-but-established,true,20,kanji,"",1,"(one's) age"
1560080,3,"露","あらわ",A-remove,false,,kanji,"",1,"exposed; scanty; bare | public; open"
1561010,1,"老ける","ふける",C-collision-but-established,true,,kanji,"",1,"to age; to grow old (esp. in appearance); to show marks of age"
1562840,3,"碗","わん",B-review,false,,kanji,"",0,"bowl (ceramic, porcelain) | counter for bowls of food or drink"
1563260,3,"佩","はい",A-remove,false,,kana-reading,"hist/arch",1,"type of ancient oriental belt | counter for swords"
1563840,4,"偸盗","ちゅうとう",B-review,false,,kana-expr,"",0,"robber; theft"
1565610,1,"あざ笑う","あざわらう",B-review,false,,kanji,"",0,"to laugh at; to ridicule; to mock"
1565710,1,"囀る","さえずる",B-review,false,,kana-expr,"uk",0,"to sing; to chirp; to twitter"
1566370,1,"し尿","しにょう",B-review,false,,kanji,"",0,"excreta; raw sewage; human waste"
1567230,1,"抓る","つねる",B-review,false,,kana-expr,"uk",0,"to pinch; to nip"
1567270,1,"拗れる","こじれる",B-review,false,,kana-expr,"uk",0,"to get complicated; to grow worse; to turn sour"
1567440,2,"掏る","する",B-review,false,,kana-expr,"uk",0,"to pickpocket; to steal"
1568540,1,"毟る","むしる",B-review,false,,kana-expr,"",0,"to pluck; to pick; to tear"
1568630,2,"洒落","しゃらく",A-remove,false,,kanji,"",1,"free and easy; open-hearted; relaxed"
1568910,2,"炙る","あぶる",B-review,false,,kana-expr,"uk",0,"to warm (e.g. one's hands over a fire); to dry | to toast; to grill; to broil"
1572500,2,"襤褸","ぼろ",B-review,false,,kana-expr,"uk",0,"rag; old cloth | tattered clothes; ragged clothes; rags"
1572680,1,"誂える","あつらえる",B-review,false,,kana-expr,"uk",0,"to give an order; to place an order; to have made to order"
1573420,1,"躾ける","しつける",B-review,false,,kanji,"uk",0,"to train; to discipline; to teach manners"
1573440,1,"軋む","きしむ",B-review,false,,kana-expr,"uk",0,"to jar; to creak; to grate"
1573590,1,"辟易","へきえき",B-review,false,,kanji,"",0,"to be fed up (with); to be tired (of); to be bored (with) | to be stumped; to be nonplussed; to be disconcerted"
1574100,1,"霰","あられ",B-review,false,,kanji,"uk/abbr",0,"hail (esp. hailballs under 5 mm); graupel | dicing; small cubes"
1574670,3,"骭","かん",A-remove,false,,kana-reading,"rare",1,"shin; shinbone"
1575770,2,"悪日","あくにち",B-review,false,,kana-expr,"",0,"unlucky day"
1576030,2,"一昨昨日","いっさくさくじつ",B-review,false,,kanji,"",0,"two days before yesterday; three days back (ago)"
1577915,3,"敵","かたき",A-remove,false,,kanji,"arch",1,"rival; opponent; adversary | revenge"
1578075,1,"脅かす","おびやかす",C-collision-but-established,true,,kanji,"",1,"to intimidate; to frighten; to scare | to threaten (e.g. peace); to jeopardize; to endanger"
1578130,3,"金蔵","かねぐら",A-remove,false,,kanji,"",1,"treasure house; treasury | financial supporter; patron; financier"
1578630,1,"公","こう",A-remove,false,,kanji,"",1,"public affair; government matter; the state | duke; prince"
1578830,2,"行き方","いきかた",A-remove,false,,kanji,"",1,"way (of going); route | way (of doing); method"
1579310,2,"刷子","さっし",B-review,false,,kana-expr,"",0,"brush"
1579580,5,"次","じ",A-remove,false,,kanji,"",1,"next | hypo- (i.e. containing an element with low valence)"
